==ID: 0{'N0': 0.10825207262384626, 'Nmax': -777.2442227468191, 'rmax': 0.00013664053212447937}-133.64662411819816
==ID: 149{'N0': 0.9432725580923943, 'Nmax': 3.9432172090517392, 'rmax': 0.00840973619179487}-5.445757917589761

==ID: 150{'N0': 0.8658317630484584, 'Nmax': 4.494491478668221, 'rmax': 0.008820429144575015}-9.578927818236998

==ID: 151{'N0': 0.8121427413851148, 'Nmax': 6.066443114373122, 'rmax': 0.009927280651294338}-7.238825527686043

==ID: 152{'N0': 1.0901259225363762, 'Nmax': 2.692990692407657, 'rmax': 0.017709484740751683}-8.002472317182225

==ID: 153{'N0': 1.7091672819654453, 'Nmax': 3.769947180337208, 'rmax': 0.005815063448011073}-13.870733368798742

==ID: 154{'N0': 1.556873227824138, 'Nmax': 4.38162794449686, 'rmax': 0.006767917317049971}-5.035449010555764

==ID: 155{'N0': 1.6780843414048605, 'Nmax': 6.691190563034962, 'rmax': 0.005771113311049191}-17.580001521204878

==ID: 156{'N0': 1.7412208617023266, 'Nmax': 5.319563988145895, 'rmax': 0.009022647130450194}-11.60144891567009

==ID: 157{'N0': 0.0012056723057547402, 'Nmax': 0.4176061198878331, 'rmax': 0.2450454356415129}-88.80935354636698

==ID: 158{'N0': 0.003295457049076566, 'Nmax': 0.5297101028562587, 'rmax': 0.5167328186381646}-78.52011447698128

==ID: 159{'N0': 3.011273413077614e-05, 'Nmax': 0.4663890690498637, 'rmax': 1.6947585298605583}-66.26665844513656

==ID: 160{'N0': 0.0022791729046843894, 'Nmax': 0.412337541622874, 'rmax': 0.0369116587692987}-234.72187838881197

fffffffffff==ID: 161{'N0': 0.0022791729046843894, 'Nmax': 0.412337541622874, 'rmax': 0.0369116587692987}-234.72187838881197

==ID: 162{'N0': 0.028199794191967976, 'Nmax': 0.5632176226901983, 'rmax': 0.062287228349929065}-61.35006219662114

==ID: 163{'N0': 0.004917315190477059, 'Nmax': 0.5650030164648563, 'rmax': 0.522375084730327}-67.37282159746428

==ID: 164{'N0': 0.0019379864795420973, 'Nmax': 0.4733837995019804, 'rmax': 0.061352238643139316}-212.78429591924254

==ID: 165{'N0': 0.40272873474689025, 'Nmax': -31894.431865470815, 'rmax': -0.0011627804924259173}-78.93611846493809

==ID: 166{'N0': 0.023992917542008066, 'Nmax': 0.4780661896166111, 'rmax': 0.07106820959962885}-52.13476059683241

==ID: 167{'N0': 0.24768183158179047, 'Nmax': -24215.800959113003, 'rmax': 0.003229032195546562}-37.454725182621154

==ID: 168{'N0': 0.00032051513350518103, 'Nmax': 0.4512781308787756, 'rmax': 0.06430570720286614}-144.33504622717228

==ID: 169{'N0': 2.5030460991597545e-05, 'Nmax': 0.512298306780879, 'rmax': 0.26373574181186094}-130.22817841592607

==ID: 170{'N0': 0.09797371825767692, 'Nmax': -640767.1398403577, 'rmax': 0.013631776810514274}-52.86389852886188

==ID: 171{'N0': 0.00923956826503412, 'Nmax': 0.258690018316478, 'rmax': 0.45799332985051355}-75.28181019199508

==ID: 172{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 173{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 174{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 175{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 176{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 177{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 178{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 179{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

fffffffffff==ID: 180{'N0': 0.00040709520178793803, 'Nmax': 52440.56968476316, 'rmax': 0.006688415826241079}-336.54948951937035

